13,What is the best project structure for a Python application? ,Imagine that you want to develop a non-trivial end-user desktop (not web) application in Python. What is the best way to structure the project's folder hierarchy? Desirable features are ease of maintenance IDE-friendliness suitability for source control branching/merging and easy generation of install packages. In particular:Doesn't too much matter.  Whatever makes you happy will work.  There aren't a lot of silly rules because Python projects can be simple. And the top-level directory can contain README's Config's and whatnot. The hard choice is whether or not to use a ).
42,Difference between framework vs Library vs IDE vs API vs SDK vs Toolkits? ,I want some examples. I always get confused so with some examples I might be able to figure it out better. Also: Is Eclipse an API or IDE?An : While not the prevalent notion a framework can be viewed as a kit. It also has a library (or a collection of libraries that work together) that provides a specific coding structure &amp; pattern (thus the word >). (e.g. Spring Framework) Consider Android Development: IDE: Eclipse etc.. Library: android.app.Activity library (Class with all code) API: Interface basically all functions with witch we call  SDK: The Android SDK provides you the API libraries and developer tools necessary to build test and debug apps for Android(----tools - DDMSEmulator ----platforms - Android OS versions ----platform tools - ADB ----API docs) ToolKit: Could be ADT Bundle Framework: Big library but more of architecture oriented SDK represents to software development kit and IDE represents to integrated development environment.  The IDE is the software or the program is used to write compile run and debug such as Xcode.  The SDK is the underlying engine of the IDE includes all the platform's libraries an app needs to access. It's more basic than an IDE because it doesn't usually have graphical tools. In other words... Even your notepad is an IDE. Every software you write/compile code with is an IDE.   A bunch of code which simplifies functions/methods for quick use. A programming interface for functions/configuration which you work with its usage is often documented. Extras and/or for development/testing purposes.  Tiny apps for quick use often GUIs.  Apps with a graphical interface requires no knowledge of programming unlike APIs. Bunch of APIs/huge Library/Snippets wrapped in a namespace/or encapsulated from outer scope for compact handling without conflicts with other code. A design pattern separated in Models Views and Controllers for huge applications. They are not dependent on each other and can be changed/improved/replaced without to take care of other code. The object that is being  presented.  Example in IT: A HTML form.  Example in IT: Browser that renders a website with the form.  Example in IT: Functions which handle form data that's being submitted.Small codes of only a few lines may not be even complete but worth for a quick share. Exclusive functions for specified frameworks/APIs/libraries only. Additional modules or services for specific GUIs.
44,IDE for OCaml language ,Is there any trusted OCaml IDE other than Camelia ? I would prefer an eclipse based IDE if existed. Editors • Emacs ◦ ocaml-mode from the standard distribution ◦ alternative tuareg-mode /ﬁles/tuareg-mode.pdf ◦ camldebug intergration with debugger ◦ type feedback with C-c C-t key shortcut needs .annot ﬁles • Vim ◦ OMLet plugin      ◦ currently mostly as typerex-mode for Emacs but integration withother editors will become better ◦ Auto-completion of identiﬁers (experimental) ◦ Browsing of identiﬁers: show type and comment go to deﬁnition ◦ local and whole-program refactoring: renaming identiﬁers and compilation units open elimination • Some dedicated editors ◦ OCamlEditor  similar to TypeRex but works better with work-in-progress files has front-ends to Vim and Emacs currently.  
78,Selenium IDE - Command to wait for 5 seconds ,I´m using the Selenium IDE for Firefox and searching for a wait command.My problem is that I want to test a website with a embedded external map.This external map needs 3-5 seconds to load. My commands:Use the  command.Set speed to fastest (Actions --&gt; Fastest) otherwise it won't work.  Command: pauseTarget: 5000Value:  Command: pauseTarget: 3000Value:   Command: waitForElementPresentTarget: link=do somethingValue:
82,"c++ - What is the difference between #include &lt;filename&gt; and #include ""filename""? ","In the C and C++ programming languages what is the difference between using angle brackets and using quotes in an  statement as follows?In practice the difference is in the location where the preprocessor searches for the included file.  For  characters if any) from the original  directive. A preprocessing directive of the form (that does not match one of the two previous forms) is permitted. The preprocessing tokens after  option.    The argument of  searches a sequence of implementation-defined places for a header identified uniquely by the  specified sequence between the &lt; and &gt; delimiters and causes the  replacement of that directive by the entire contents of the header.  How the places are specified or the header identified is  implementation-defined. 3 A preprocessing directive of the form  causes the replacement of that directive by the entire contents of the source file identified by the  specified sequence between the "" delimiters. The named source file is  searched for in an implementation-defined manner. If this search is  not supported or if the search fails the directive is reprocessed as  if it read  characters if any) from the original  directive. A preprocessing directive of the form (that does not match one of the two previous forms) is permitted. The preprocessing tokens after  defined folders. In C++ include a file in two ways: The first one is #include  which tells the preprocessor to look for the file in the predefined default location.This location is often an INCLUDE environment variable that denotes the path to include files. And the second type is #include ""filename"" which tells the preprocessor to look for the file in the current directory first then look for it in the predefined locations user have set up. the "" &lt; filename &gt; "" searches in standard C library locations whereas ""filename"" searches in the current directory as well. Ideally you would use &lt;...&gt; for standard C libraries and ""..."" for libraries that you write and are present in the current directory. The  syntax. The simple general rule is to use angled brackets to include header files that come with the compiler. Use double quotes to include any other header files. Most compilers do it this way. >. First looks for the presence of header file in the current directory from where directive is invoked. If not found then it searches in the preconfigured list of standard system directories. This looks for the presence of header file in the current directory from where directive is invoked. The exact search directory list depends on the target system how GCC is configured and where it is installed.You can find the search directory list of your GCC compiler by running it with -v option. You can add additional directories to the search path by using - I> which causes dir to be searched after the current directory (for the quote form of the directive) and ahead of the standard system directories. Basically the form ""xxx"" is nothing but search in current directory; if not found falling back the form  To see the search order on your system using gcc based on current configuration  you can execute the following command.  You can find more detail on this command   Apple LLVM version 10.0.0 (clang-1000.10.44.2)   Target: x86_64-apple-darwin18.0.0   Thread model: posix InstalledDir: Library/Developer/CommandLineTools/usr/bin  ""/Library/Developer/CommandLineTools/usr/bin/clang"" -cc1 -triple  x86_64-apple-macosx10.14.0 -Wdeprecated-objc-isa-usage  -Werror=deprecated-objc-isa-usage -E -disable-free -disable-llvm-verifier -discard-value-names -main-file-name null -mrelocation-model pic -pic-level 2 -mthread-model posix -mdisable-fp-elim -fno-strict-return -masm-verbose -munwind-tables -target-cpu penryn -dwarf-column-info -debugger-tuning=lldb -target-linker-version 409.12 -v -resource-dir /Library/Developer/CommandLineTools/usr/lib/clang/10.0.0 -isysroot  /Library/Developer/CommandLineTools/SDKs/MacOSX10.14.sdk  -I/usr/local/include -fdebug-compilation-dir /Users/hogstrom -ferror-limit 19 -fmessage-length 80 -stack-protector 1 -fblocks -fencode-extended-block-signature -fobjc-runtime=macosx-10.14.0 -fmax-type-align=16 -fdiagnostics-show-option -fcolor-diagnostics -traditional-cpp -o - -x c /dev/null   clang -cc1 version 10.0.0 (clang-1000.10.44.2) default target x86_64-apple-darwin18.0.0 ignoring  nonexistent directory ""/Library/Developer/CommandLineTools/SDKs/MacOSX10.14.sdk/usr/local/include""  ignoring nonexistent directory ""/Library/Developer/CommandLineTools/SDKs/MacOSX10.14.sdk/Library/Frameworks""     (framework directory)   End of search list. There exists two ways to write #include statement.These are: The meaning of each form is  This command would look for the file  includes source file identified by filename into the current source file at the line immediately after the directive. The first version of the directive searches only standard include  directories. The standard C++ library as well as standard C library  is implicitly included in standard include directories. The standard  include directories can be controlled by the user through compiler  options. The second version first searches the directory where the current file  resides and only if the file is not found searches the standard  include directories. In the case the file is not found the program is ill-formed."
91,java - Octave IDE DomainMath IDE error ,I have installed Octave DomainMath IDE to be able to get a Matlab like environment for Octave. However I am getting this error  Any ideas how to fix this please ?Does following code works in Octave from command prompt? If it displayed help documentthen your java package works correctlyotherwise contact Octave forum. If your java package works correctlygive more details about your OSGnu Octave(built for VS2010 or MingW) Complete DMI output textetc.
113,delphi - IDE Gradient Toolbars ,Sorry for posting a non technical question :( Look at the attached image: There  to  gradients.
118,ruby on rails - ide sublime2 how to find method definition ,I'm using  for Ruby On Rails programming.I need a ability to click a method name and jump to class where the method is defined. There are many IDE with similar capability... upgrade to sublime text 3 and then put cursor on function name and click F12to go back ALT+-or from the menu click on Goto
168,programming IDE in Android market ,Is there a programming IDE in Android market? Or just an editor that gives certain supportung features like syntax highlighting? The best solution I've seen so far is Terminal IDE : . Also have a look at : Touchqode
177,Magento Development IDE ,¿Which is the best IDE for  etc.? I really need know which one have the best performance during  development and testing the features that any IDE can bring me. any answer will be wellcome. Excuse my english Mexican Boy!PHPStorm is the best in my opinion (however NetBeans also works good with Magento probably Eclipse and ZendStudio work good. but have no experience with them). PHPStorm But PHPStorm becomes really powerful IDE for Magento with the help of  Magicento is a free PHPStorm plugin for Magento developers. Features include:Goto for factories and template paths autocomplete for factories xml files and class names documentation for xml nodes evaluation of PHP code inside Magento environment and much more to come!  if you develop module than this is right IDE
