ID,Title,Content
1,performance - Why is the Android emulator so slow? How can we speed up the Android emulator? ,I have got a  should start fairly quickly on such a machine but for me it does not. I have followed all the instructions in setting up the IDE SDKs JDKs and such and have had some success in starting the emulator quickly but that is very rare. How can I if possible fix this problem? Even if it starts and loads the home screen it is very sluggish. I have tried the  (Ganymede). Currently it supports only Intel® VT (Intel Virtualization Technology). The Android emulator is based on . The interface between QEMU and the HAXM driver on the host system is designed to be vendor-agnostic. Update Eclipse:Make sure your Eclipse installation and the ADT plug-in are fully up-to-date. Update your Android Tools:After each Eclipse plug-in update it is important to update your Android SDK Tools. To do this launch the Android SDK Manager and update all the Android SDK components. To take advantage of HAXM you must be on at least release version 17. C:\ProgramFiles\Android\android-sdk\extras\intel\Hardware_Accelerated_Execution_ManagerFor those still interested:Try using  on May 15 2012.  This worked for me. The emulator is now fast and the UI is smooth. The first half of the instructions are detailed enough so I will assume you were able to install the Intel x86 Atom System Image(s) using the Android SDK manager as well as Intel HAXM. Now to ensure that everything else is set up so you can enjoy a highly performing emulator: And start it: If HAXM is working properly you may see this message when launching the emulator: HAX is working and emulator runs in fast virtual mode Otherwise you may see this error: HAX is not working and the emulator runs in emulation mode emulator:   Failed to open the hax module  (Gingerbread)).Developing on a Mac would be better. Why use an emulator BTW? Using a real phone makes more sense. As of Revision 17 of Android SDK Tools the emulator can use graphic acceleration and CPU-provided extensions for better efficiency. The prerequisites and full configuration and user notes are at:    After these changes Android Emulator was launching in 5-10 seconds and running without any noticeable lag.Be aware that these features are hardware dependent (CPU/GPU) and may not work on some systems. A new option is the  file you've deployed. Android emulator is dead slow. It takes 800MB memory while running.If you are on Windows You can use Microsoft Android Emulator. It is superb provides you functionalities more than Android Studio Emulator. And most important it is fast ( consumes 13MB only).It comes with Visual Studio 2015 Technical Preview. I am using it and happy with it. I downloaded and installed entire VS pack I need to look how we can install VS Emulator only.  EDIT:Try  version and then go to app open Settings/Preferences the go to Build Execution Deployment → Instant Run. Click on Enable Instant Run. And After That This will ensure you have the correct gradle plugin for your project to work with Instant Run. And Instant run will look like this  However Android Studio is right now in Preview you can try it now.
2,What IDE to use for Python? ,"What IDEs (""GUIs/editors"") do others use for Python coding?"
3,vim - Why should I use an IDE? ,"In another question  speaks highly of IDEs saying ""some people still just dont know ""why"" they should use one..."".  As someone who uses vim for programming and works in an environment where most/all of my colleagues use either vim or emacs for all of their work what are the advantages of IDEs?  Why should I use one? I'm sure this is a charged issue for some people and I'm not interested in starting a flame war so .  I'm not interested in hearing about why I shouldn't use an IDE; I already don't use one.  I'm interested in hearing from ""the other side of the fence"" so to speak. If you think that IDEs may be suitable for some types of work but not others I'm also interested to hear why.It really depends on what language you're using but in C# and Java I find IDEs beneficial for: All of these save time. They're things I could do manually but with more pain: I'd rather be coding. Code completion. It helps a lot with exploring code. The short answer as to why I use an IDE is laziness. I'm a lazy soul who doesn't like to do things a difficult way when there is an easy way to do it instead. IDE's make life easy and so appeal to us lazy folk. As I type code the IDE automatically checks the validity of the code I can highlight a method and hit F1 to get help right click and select ""go to to definition"" to jump straight to where it is defined. I hit one button and the application with debugger automatically attached is launched for me. And so the list goes on. All the things that a developer does on a day to day basis is gathered under one roof. There is no need to use an IDE. It is just much harder work not to. I don't think it's fair to do the classic ""text editor and console window vs IDE"" when ""text editor"" is really emacs. Most features that are typical for IDE:s are also in emacs. Or perhaps they even originated there and modern IDE:s are mainly interface improvements/simplifications. This means that for the original question the answer is not so clear-cut. It depends on > power of Vim using something like the  and Emacs fulfil many functions any IDE will give you. The only aspect they do not handle that a larger IDE may are things like UI designers. Then your question boils down to simply ""what IDE should I use"" with arguments to be made for the simpler realm of Vim and Emacs. For me an IDE is better because it allows faster navigation in code which is important if you have something in your mind to implement.Supposed you do not use an IDE it takes longer to get to the destination. Your thoughts may be interupted more often. It means more clicks/more keys have to be pressed.One has to concentrate more on the thought how to implement things.Of course you can write down things too but then one must jump between the design and implementation.Also a GUI designer makes a big difference. If you do that by hand it may take longer. GUI-based IDEs like Visual Studio and Eclipse have several advantages over text-based IDEs like Emacs or vim because of their display capabilities: Basically with a GUI-based IDE you can get more useful information on screen at once and you can view/edit graphical portions of of your application as easily as text portions. One of the coolest things to experience as a developer is editing a method that computes some data and seeing the live output of your code displayed graphically in another window just as your user will see it when you run the app.  Now that's WYSIWYG editing! Text-based IDEs like Emacs and vim can add features like code completion and refactoring over time so in the long run their main limitation is their text-based display model. I also almost exclusively use Vim (almost because I'm trying to learn emacs now) for all my development stuff. I think sheer intuitiveness (from the GUI of course) is the primary reason why people like to use IDEs. By being intuitive little to no learning overhead of the tool is required. The lesser the learning overhead the more they can get work done. An  allows one to work faster and more easily... I noticed I spent a lot of time navigating in the code in a simple text editor... In a good IDE that time goes down if the IDE supports jumping to functions to previous editing positionto variables... Also a good IDE reduces the time to experiment with different language features and projects as the start-up time can be small. A couple of reasons I can think of for using an IDE: And quite frankly I like my mouse. When I use pure text-based editors it gets lonely. Saves time to developMakes life easier by providing features like Integrated debugging intellisense. There are lot many but will recommend to use one they are more than obvious. I'm not sure there's a clear dividing line between a text editor and an IDE. You have the likes of Notepad at one end of the scale and the best modern IDEs at the other but there are a lot of thing in between. Most text editors have syntax highlighting; editors aimed at programmers often have various other features such as easy code navigation and auto complete. Emacs even lets you integrate a debugger. The IDEs of even ten years ago had far less features to help programmers than you'd expect of a serious text editor these days. My main  reason to use one is when the code goes beyond 100 files. Although ctags can do the work  have a pretty good way to navigate the files easily an super fast. It saves time when you have a lot of work to do. To me it's just the the GUI version of everything we did in the good old days of the terminal. I will always agree that IDE are not very superior because they hide a lot of stuff especially concerning the linking stuff but they have a notable advantage in some cases for example with certain development platforms like Qt. Some IDE like visual of others even seem to parse your code as you type it and detect errors before you even compile: it seems logics that only an IDE can work closely with a compiler to immediately detect problem in the typed source. My wild answer that the IDE/Command-line flame war exists is just because the C/C++ executable building is not very well handled from a standardized point of view unlike with the D language; every platform handles compiling/linking/etc its own way so to make it less messy they make an IDE. From your viewpoint it might be more simple to use the command-line if there would have been only one compiler with standard options it would have been easy but the truth is C/C++ is flexible so in the end all platform do it their own way hence the IDE to not waste explaining how to do it. If you can learn how an executable talks to the kernel or if you know anything about compiler design maybe there is a way to work with a proper command-line but I doubt you have. Microsoft or Apple all evil they would be have to propose a straight-forward way to build application without entering in the details and since building an application depends directly on the architecture of the OS it will hardly be ""standard"" as the command-line is. To put it simple big and complex applications where you don't want to dig too deep into what it does -&gt; IDE little pieces of software or simple system software-design -&gt; command-line. Except of course those nifty libraries that embed a Makefile but that's another story. Also I think IDE are used when the application delivered has something to do with ironically a GUI or something that has an interface or is directly bound to an OS so again it's also for people who will use a UI/GUI without knowing how it works while people who will program systems won't need it all. IDE is just modern shit but I think in 100 years the command-line will still exist. I like an IDE because it puts a lot of functionality at my fingertips.  Editing/Compilation/visibility of files in the project are all things I value in an IDE.  I use Visual Studio now but in a former life I used SlickEdit and found that it made my development process more streamlined than when I wasn't using it. There's only one thing to consider when deciding whether to use an IDE or not and that's whether it makes you more productive or not. Short question so short answer :) It depends highly on what you're doing and what language you're doing it in.  Personally I tend to not use an IDE (or ""my IDE consists of 3 xterms running vim one running a database client and one with a bash prompt or tailing logs"" depending on how broadly you define ""IDE"") for most of my work but if I were to find myself developing a platform-native GUI then I'd reach for a language-appropriate IDE in an instant - IMO IDEs and graphical form editing are clearly made for each other."
4,Rename package in Android Studio ,"How do you rename packages in the new IDE Android Studio based on IntelliJ IDEA? Is there an automatic refactoring included?  I want to make bulk refactoring but I don't know how. I worked two years with Eclipse and in Eclipse it's a one-click operation.For example if you want to change  attribute in your manifest. Clean and Rebuild.  (which is now independent of the package name) can be done very easily in one step. You don't have to touch AndroidManifest.Instead do the following:  Note this will > change the package name. The decoupling of Package Name and Application ID is explained here: The approach used by me for renaming the package name is simple as follows:- : Select the Project option from left menu of Android Studio  : Right click on java and add a new package and set the desired package name  : Enter you new packagename  :Copy all the files from your old package and paste in the new package  :Rename the package name in manifest file  :Rename the package name in build.gradle file  :Then right click the old package and delete it with all its data and delete that directory as well  :Then Rebuild your project  :Then you will find some errors of old import packagename in your project :Then a popup appears like below and select All files option from it  :Rebuild your project again bingo your project packagename has been changed :) Place your cursor in the package name like shown below. Don't select it just place it.  Then press  you will get a popup window as shown below select.(Note since my cursor is on ""something"" only something is renamed.) That's it done. Right-click on the package at the  If your package name is more than two dot separated say  you might DO the following steps to refactoring your package name(s) in Android Studio or IntelliJ: then refactor them by moving them to com and com.hello respectively.   You will see com and com.hello sitting there at the Project(   or  for shortcut) and rename directories refactoring is   waiting there as you expected. Refactor to rename one or more of these directories to reach your aim. The only thing you should notice here is you must choose the directories rather than Packages when a dialog ask you. If you've got lots of classes in your project it will take you a while to wait for its auto-scan-and-rename. Besides you need to rename the package name inside the AndroidManifest.xml manually I guess such that other names in this file can benefit the prefix.  and then insert the desired package name. 2- Open  to the desired package  name. Select option  Uncheck the Compact Empty Middle Packages option. Renaming directory crl to crl1 Finally click on Do Refactor button marked in image belowenter code here After Changes done Please try the following steps: *******Finally it’s done ******   Press  has always worked for me.Simply . It should be fine from here. The best way is to write the new package name and drag from the older package name. The second way if you click > then move option then rename the package name it will rename the package name and then rebuild. In Build.gradle you have to do manually if you Refactor then it will not rename in Build.gradle. I recommend to use the  Done!"
5,"Does a ""Find in project..."" feature exist in Eclipse IDE? ","Does Eclipse have a way to search a whole project for some text like Xcode's ""find in project"" feature?1. 2. Choose  for plain text search in workspace/selected projects Open any file quickly without browsing for it in the PackageExplorer: Open a type (e.g.: a class an interface) without clicking throughinterminable list of packages: Go directly to a member (method variable) of a huge class fileespecially when a lot of methods are named similarly:  is the best way! Remember to copy the string before you start searching!  Open  Search Dialog  is actually pretty important.When you have last clicked on file you're working on you'll get a different search window - ::yes but you need to open the global search panel.to do so press the binoculars icon on the top right corner of the IDE.  you can even filter searches by function identifiers method scopes an etc... First customize your search dialog.  Incremental search forward / backwards. Type search term after pressing  there is now search windowEclipse will restrict the search result using the Resource Filters defined for your project (eg. right click on you project name and select Properties -&gt; Resource -&gt; Resource Filters). So if you keep getting search hits from parts of your project that your not interested in you could make Eclipse skip those by adding a Resource Filter for them. This is especially useful if you have build files or logs or other temporary files that are part of your projects directory structure but you only want to search amongst the source code. You should also be aware of that files/directories matched for exclusion in the Resource Filters will not show up in the Package Explorer either so you might not always want this. What others have forgotten is   It updates as quickly as you can type and allows for quick navigation using only the keyboard.   A typical workflow starts by pressing the keyboard shortcut   (or   Typing a few letters updates the search result as you type.  Use Up-Down arrow keys to select a match then hit "
6,"lint - What is ""Linting""? ","PHPLint JSLint and I recently came across ""you can lint your JS code on the fly"" while reading something about some IDE.  So what is this > that everyone knows but me? Linting is the process of running a program that will analyse code for potential errors. See  file. Linting is a process by a linter program that analyzes source code in a particular programming language and flag potential problems like syntax errors deviations from a prescribed coding style or using constructs known to be unsafe.  For example a JavaScript linter would flag the first use of parseInt below as unsafe:"
7,C++ IDE for Linux? ,"I want to expand my programming horizons to Linux. A good dependable basic toolset is important and what is more basic than an IDE? I could find these SO topics: I'm not looking for a > The minimums are fairly standard: syntax highlighting code completion (like  or its Eclipse counterpart) and integrated debugging (e.g. basicbreakpoints). I have searched for it myself but there are so many that it is almost impossible to separate the good from the bads by hand especially for someone like me who has little  C++ coding experience in Linux. I know that  and I really like that IDE for Java but is it any good for C++ and is there something better? The second post actually has some good suggestions but what I am missing is what exactly makes the sugested IDE so good for the user what are its (dis)advantages? Maybe my question should therefore be: >When originally writing this answer I had recently made the switch from Visual Studio (with years of experience) to Linux and the first thing I did was try to find a reasonable IDE. At the time this was impossible: no good IDE existed. And then I realised that the IDE in Linux is the command line with its tools: Depending on your needs you will then have to install and configure several plugins to make the editor work nicely (that’s the one annoying part). For example most programmers on Vim will benefit from the  The decision to use CodeLite was based on a research regarding the following C++ IDE for Linux: After all I have decided to use >You must definitely check out  is an excellent IDE. It supports large code-bases well without slowing down or spending all its time indexing. (This is a problem I had with eclipse's cdt).  Slickedit's speed is probably the nicest thing about it actually.The code completion works well and there are a large amount of options for things like automatic formatting beautification and refactoring.It does have integrated debugging.It has plug-in support and fairly active community creating them.In theory you should be able to integrate well with people doing the traditional makefile stuff as it allows you to create a project directly from one but that didn't work as smoothly as I would have liked when I tried it.In addition to Linux there are Mac and Windows versions of it should you need them.It's been a month since I started using Vim as my main 'GUI'tool for programming C++ in Linux. At first the learningcurve was indeed a bit steep but after a while and with theright options turned on and  I reallygot the hang of it! I love the way how you can shape Vim to suite your needs;just add/change  and Vim is turned into ahighly productive 'IDE'. The toolchain to build and compile a C++ program on Linux isalso really intuitive. make and g++ are > tools you'lluse. The  is however not really that good butmaybe that's because I haven't had the time to master itproperly. So to anyone who is or was looking for a good C++ IDE inLinux just like I was your best bet lays with the standardavailable tools in Linux itself (Vim g++ ddd) and youshould really at least try to use them before looking forsonething else... Last but not least I really want to thank  forhis answer here It really helped me find my way in theLinux development environment thank you! I'm also > closing this question so people can stillreact or maybe even add new suggestions or additions to thealready really nice answers... I recommend you read :   If you like Eclipse for Java I suggest Eclipse CDT. Despite C/C++ support isn't so powerful as is for Java it still offers most of the features. It has a nice feature named Managed Project that makes working with C/C++ projects easier if you don't have experience with Makefiles. But you can still use Makefiles.I do C and Java coding and I'm really happy with CDT. I'm developing the firmware for a embedded device in C and a application in Java that talks to this device and is really nice to  use the same environment for both. I guess it probably makes me more productive. I love how people completely miss the request in the original question for an IDE.  Linux is NOT an IDE.  That's just not what those words mean.  I learned c and c++ using vi and gcc and make and I'm not saying they aren't adequate tools but they are NOT an IDE.  Even if you use more elaborate tools like vim or emacs or whatever fancy editor you want typing commands on a command line is not an IDE. Also you all know make exists as part of visual studio right?  The idea that an IDE is ""limiting"" is just silly if you can use the IDE to speed some things yet are still able to fall back on command line stuff when needed. All that said I'd suggest as several above have trying Code blocks.  Its got decent code highlighting a pretty effortless way to create a project code it run it etc that is the core of a real IDE and seems fairly stable.  Debugging sucks...I have never seen a decent interactive debugger in any linux/unix variant.  gdb ain't it.  If you're used to visual studio style debugging you're pretty much out of luck. Anyway I'll go pack my things I know the one-view-only linux crowd will shout this down and run me out of town in no time. make + vim + gdb = one great IDE I quite like  for Eclipse could fill your needs? The Linux Tools project aims to bring a full-featured C and C++ IDE to Linux developers. We build on the source editing and debugging features of the CDT and integrate popular native development tools such as the GNU Autotools Valgrind OProfile RPM SystemTap GCov GProf LTTng etc. Current projects include LTTng trace viewers and analyzers an RPM .spec editor Autotools build integration a Valgrind heap usage analysis tool and OProfile call profiling tools. On Linux there are plenty of IDEs:  In > experience the most valuable are .Both provide all ""standard"" features (i.e. autocompletion syntax highlightning debugger git integration).It is worth noting that Eclipse also provides refactoring functionalities while Qt Creator provides integration with Valgrind and support for deployment on remote targets. Also the commercial . I'm sure you have code completion and debugging support including plugin support in this IDE. Sun Studio is available for Linux as well as Solaris. forums : . Sun Studio Linux forums :  I'll be eager to hear your feedback on this tool. BR~A I've previously used Ultimate++ IDE and it's rather good.  And then I noticed that this simply isn't how you work there* and I threw everything out spent a few days reading manuals set up my shell (bash) set up a GVIM environment learned the GCC/binutils toolchain make and gdb and lived happily ever after. I'd mostly agree but the problem is also one of perception: we forget how difficult it was to become productive in any chose IDE (or other environment).  I find IDE's (Visual Studio NetBeans Eclipse) amazingly cumbersome in so many ways. As an old-time UNIX guy I always use Emacs. But that has a pretty steep   and long learning curve so I'm not sure I can recommend it to newcomers. I'd second that; use Emacs as my primary editor on both Linux and on MSW (XP2W2K).I would disagree that it has a > delays many seconds before refreshing files from disk.   The main reason for editing in the VS window is the ""Intellisense"" code completion feature.  seems to be the best solution to write cross-os program If you were using vim for a long time then you should actually make that as your IDE. There are a lot of addons available. I found several of those as pretty useful and compiled it here have a look at it. And a lot more in the vi / vim tips &amp; tricks series over there."
8,nullpointerexception - Which @NotNull Java annotation should I use? ,"I'm looking to make my code more readable as well as use tooling like IDE code inspection and/or static code analysis (FindBugs and Sonar) to avoid NullPointerExceptions.  Many of the tools seem incompatible with each others' > > > > >>  > >Since  (whose goal was to standardize .The former comes with JEE. If this is better than  which  might come eventually with JSE or never at all is a matter of debate.I personally prefer . As other packages graduatedfrom  in the past the javax.annotation wouldbe a step in the right direction. I was hoping that they all have basically the same trivial implementationbut a detailed analysis showed that this is not true. First for the similarities: The ). As described in  the impact of runtime annotationsis smaller than one might think but they have the benefitof enabling tools to do runtime checks in addition to thecompile time ones.  Another important difference is > in the code the annotations can be used.There are two different approaches. Some packages use JLS 9.6.4.1 style contexts. The following table gives an overview:  use the contexts defined in JLS 4.11 which is in my opinion the right way to do it. This leaves us with  in this round. To help you to compare further details yourself I list the code of every annotation below.To make comparison easier I removed comments imports and the  annotation.(they all had  except for the classes from the Android package).I reordered the lines and .In and it has a longish implementation. From my experience If you are willing to buy into the Checker Framework just usetheir . These and other helpful Android-specific annotations are available in the : The support library itself has also been annotated with these  annotations so as a user of the support library Android Studio will  already check your code and flag potential problems based on these  annotations. If anyone is just looking for the IntelliJ classes: you can get them from the maven repository with JSR305 and FindBugs are authored by the same person. Both are poorly maintained but are as standard as it gets and are supported by all major IDEs. The good news is that they work well as-is. Here is how to apply @Nonnull to all classes methods and fields by default.See  for details. Just pointing out that the Java Validation API ( framework.Similar to Find-bugs or  is supposed to ship in less than 6 months:-OSimilar to  annotations. For example: If you use the correct  then the annotations  Click the ""police officer"" in the lower right corner of the IntelliJ status bar. And click ""Configure inspections"" in the popup. Next ...   There is another way to do this in Java 8.I am doing 2 things to accomplish what I needed: Example: So my question is do we even need to annotate when using java 8?  Edit: I found out later that some consider a bad practice to use ). The latter is only compatible with Android so it can't be used in non-Android JVM/Java/Kotlin projects. However the JetBrains package works everywhere. So if you develop Java packages that should also work in Android and Kotlin (and be supported by Android Studio and IntelliJ) your best choice is probably the JetBrains package. Maven: Gradle: Doesn't sun have their own now? What's this: the artifact containing the  is applied to item with a primitive type). The annotation processor provides additional assurance during the software development process that the information conveyed by the application of these annotations is accurate including in cases of method inheritance. One of the nice things about IntelliJ is that you don't need to use their annotations. You can write your own or you can use those of whatever other tool you like. You're not even limited to a single type. If you're using two libraries that use different @NotNull annotations you can tell IntelliJ to use both of them. To do this go to ""Configure Inspections"" click on the ""Constant Conditions &amp; Exceptions"" inspection and hit the ""Configure inspections"" button. I use the Nullness Checker wherever I can so I set up IntelliJ to use those annotations but you can make it work with whatever other tool you want. (I have no opinion on the other tools because I've been using IntelliJ's inspections for years and I love them.)"
9,intellij idea - Error:java: javacTask: source release 8 requires target release 1.8 ,"Using IntelliJ IDE can't compile any projects. Screenshots of settings below: Used JDK:  Anybody have any ideas? Add the compiler plugin to  node: (Hoisted from the comments.) Note: If you don't mind reimporting your project then the only thing you really need to do is change the pom and reimport the project then IntelliJ will pick up the correct settings and you don't have to manually change them. You need to go to Settings and set under the Java compiler the following: If you are working with Android-studio 1.3 Follow the below steps - Go to  tab choose. And you  are good to go. Under compiler.xml  file you will find : and you can change the target value from your old to the new for me i needed to change it from 1.5 to 1.8  I've just spent a while struggling with the same problem. The only thing that worked for me was not using the built mvn (3.3.9) but pointing it to an external downloaded version (3.5.0). Finally the project opened and everything was good.  In your Gradle app level file  &gt;&gt; compileOptions add this two lines For me the problem was about Maven not able to find proper configurations since these items were specified in parent pom. Changing File -&gt; Settings -&gt; Build Excecution Deployment -&gt; Maven -&gt; User Settings file to point to my custom settings with proper repositories fixed the problem that was otherwise hiding. Found out about the problem through Help -&gt; Show log in explorer -&gt; clicking the log file when previously only got the error in the title and ""java.lang.NullPointerException"" in the console.  you must check that Intellij has auto-imported your project. You can check by clicking on the Maven tab on the right of your Editor.  If your Project is not here then add the  is set appropriately. I have checked all of the above but the error still occurs. But reimport all maven Projects (reload button inside Maven Projects panel) works in my case. Don't forget to set dependencies for your module: This issue occurs if your module is configured with Annotation processor and other module is not.Set the same configuration for all the modules as it wold be cyclic dependency."
10,Eclipse IDE for Java - Full Dark Theme ,"Is there any way to completely turn Eclipse to a dark IDE?Here's a  (Which I have changed a little bit) my Eclipse looks like the picture below:Moonrise is the best dark theme I have ever seen for Eclipse!Just follow the steps on the website and Enjoy! : Dark theme works well with Eclipse 4.5 onward with Windows 10.  No more black text on black background  Update June 2014: As mentioned din "" mentions: A new dark window theme has been introduced. This popular community theme demonstrates the power of the underlying Eclipse 4 styling engine..  Plug-ins can contribute extensions to this theme to style their own specific views and editors to match the window theme.  Update April 2013: It seems the solution below don't work well with Eclipse Juno 4.2 and Windows 8 according to  mentions: .  That can be done with the Eclipse Colour Theme plugin () although you get a fine set of dark themes with the default plugin install and may not need to come back to their website for any more. Get the plugin here. .  This plugin gives you a GUI editor for the chrome colour scheme: .  If you want a dark one go ahead and click away until eclipse is dark. Once you are done some GUI surface area will show through the system theme as mentioned at the top of this post.  Rather than using that editor you could install the pre-baked Dark Juno theme instead.  The install is manual.  Start by downloading it from here: .  It has to be copied into your eclipse dropins folder. This lives next to the eclipse executable not in your workspace or someplace like that. In my case the command to do the copy was: You could be running eclipse from any directory though so which eclipse will tell you where it should go.  Restart eclipse and you should find a Dark Juno option under . It is a nice neutral grey with some gradients and is a very good option. ~~~~~~~~~~~~~~ Update December 2012 (20 months later): The blog post ""  It proves that again the concise codes and advanced features could be achieved by contributing or extending with the external form(like library framework).  New language is not necessary just for this kind of purpose. Update July 2012 (15 months later): I have seen one! (Ie a fully dark theme for Eclipse) as reported by "":   If you export your plug-in place it in the “dropins” folder of your Eclipse installation and your styling is available. "" for an example based on gtkrc resource. Original answer: March 2011 Note that a full dark theme will be possible with e4.(see : ""Fresh up your Eclipse with super-awesome color themes!"" Here is a screenshot:You'll find it there:) Insert the custom css in css editor of Chrome Theme. I spend several hours with CSS Spy to find out all the relevant information to make eclipse as black and this file as small as possible. There is also an .epf File for the Chrome Theme plugin preferences you should import.You can get it from my dropbox:   In the end your eclipse will look like this:I've build a win 7 dark theme base on the popular windows 7 'concave 7' theme for eclipse dark juno theme.And I also create a dark theme inspired from the editor color theme 'Zenburn' created by Janni Nurmin Here are photos of this theme: All settings of this theme is available on github: (I use guari and retta and I think that looks real good :)  I hope that it will  help someone :) Darkest Dark is the best dark theme.It also comes with different toolbar icon shapes. Here's the link :  I use the below adjusted 'Smart Inversion Alt 2' matrix where the black is lightened a little."
