322288,JPA  GlassFish V3 tutorial requires completion for Eclipse 3 6 and NetBeans 6 9 IDEs, Currently the Eclipse plugin has issuesThe Netbeans 6 9 embedded Glassfish 3 0 1 server debugs fine ,2
325167,JPA  SQLSyntaxException when Native query containing   temp table identifier is converted to   param,     private void nativeQuery            Query aQuery   null         int version   3         StringBuffer aBuffer   new StringBuffer           aBuffer append  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION              aBuffer append version   1          aBuffer append   WHERE   PROCUNIT ID   47  AND  ALU VERSION              aBuffer append version          aBuffer append    AND  PROCUNIT ID IN            aBuffer append   SELECT PROCUNIT ID FROM  DPAR SPROCUNIT              try                          aQuery   getEntityManager   createNativeQuery aBuffer toString                   Convert to delegate when on EE container   otherwise just return same EE EM            setEntityManager JpaHelper getEntityManager getEntityManager                 JpaHelper getDatabaseQuery aQuery  setIsUserDefined false                 If container managed TX   do not begin end as SE            if JpaHelper isEclipseLink entityManagerFactory                    getEntityManager   getTransaction   begin                            aQuery executeUpdate               if JpaHelper isEclipseLink entityManagerFactory                    getEntityManager   getTransaction   commit                          catch  Exception e               e printStackTrace                  EL Finer   2010 09 13 16 47 49 4  ServerSession 3449340   Thread Thread main 5 main    client acquired EL Finest   2010 09 13 16 47 49 41  UnitOfWork 32801378   Thread Thread main 5 main    Execute query DataModifyQuery sql  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM  DPAR SPROCUNIT      EL Finer   2010 09 13 16 47 49 41  ClientSession 25706868   Connection 27296482   Thread Thread main 5 main    begin transaction EL Warning   2010 09 13 16 47 49 41  ClientSession 25706868   Thread Thread main 5 main    named argument not found in query parameters  There is no English translation for this message   EL Fine   2010 09 13 16 47 49 41  ClientSession 25706868   Connection 27296482   Thread Thread main 5 main    UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM     bind   gt   null  EL Fine   2010 09 13 16 47 49 46  ClientSession 25706868   Thread Thread main 5 main    VALUES 1  EL Warning   2010 09 13 16 47 49 48  UnitOfWork 32801378   Thread Thread main 5 main    Local Exception Stack  Exception  EclipseLink 4002   Eclipse Persistence Services   2 2 0 qualifier   org eclipse persistence exceptions DatabaseExceptionInternal Exception  java sql SQLSyntaxErrorException  Syntax error  Encountered     Local Exception Stack  Exception  EclipseLink 4002   Eclipse Persistence Services   2 2 0 qualifier   org eclipse persistence exceptions DatabaseExceptionInternal Exception  com microsoft sqlserver jdbc SQLServerException  Must declare the table variable   P0  Error Code  1087Call  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM     bind   gt   null Query  DataModifyQuery sql  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM       java 324 java 797 java 863 java 583 java 526 java 990 java 206 java 192 java 235 java 215 java 85 java 768 java 675 java 2914 java 1301 java 1283 java 1257 java 534 java 97 java 318 Caused by  com microsoft sqlserver jdbc SQLServerException  Must declare the table variable   P0   EL Config   2010 09 13 16 46 48 837  ServerSession 24561483   Connection 28399250   Thread Thread main 5 main    disconnectLocal Exception Stack  Exception  EclipseLink 4002   Eclipse Persistence Services   2 2 0 qualifier   org eclipse persistence exceptions DatabaseExceptionInternal Exception  com mysql jdbc exceptions MySQLSyntaxErrorException  You have an error in your SQL syntax  check the manual that corresponds to your MySQL server version for the right syntax to use near  null     at line 1Error Code  1064Call  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM     bind   gt   null Query  DataModifyQuery sql  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM       java 324 java 797 java 863 java 583 java 526 java 990 java 206 java 192 java 235 java 215 java 85 java 768 java 675 java 2914 java 1301 java 1283 java 1257 java 534 java 102 java 322 Caused by  com mysql jdbc exceptions MySQLSyntaxErrorException  You have an error in your SQL syntax  check the manual that corresponds to your MySQL server version for the right syntax to use near  null     at line 1 EL Config   2010 09 13 16 47 49 48  ServerSession 3449340   Connection 27296482   Thread Thread main 5 main    disconnectLocal Exception Stack  Exception  EclipseLink 4002   Eclipse Persistence Services   2 2 0 qualifier   org eclipse persistence exceptions DatabaseExceptionInternal Exception  java sql SQLSyntaxErrorException  Syntax error  Encountered     Error Code   1Call  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM     bind   gt   null Query  DataModifyQuery sql  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM       java 333 java 683 java 526 java 990 java 206 java 192 java 235 java 215 java 85 java 768 java 675 java 2914 java 1301 java 1283 java 1257 java 534 java 102 java 322 Caused by  java sql SQLSyntaxErrorException  Syntax error  Encountered                 JpaHelper getDatabaseQuery aQuery  setIsUserDefined false   EL Finest   2010 09 13 16 54 41 405  UnitOfWork 7566193   Thread Thread main 5 main    Execute query DataModifyQuery sql  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM  DPAR SPROCUNIT      EL Finer   2010 09 13 16 54 41 405  ClientSession 31664352   Connection 5699121   Thread Thread main 5 main    begin transaction EL Fine   2010 09 13 16 54 41 405  ClientSession 31664352   Connection 5699121   Thread Thread main 5 main    UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM  DPAR SPROCUNIT    EL Fine   2010 09 13 16 54 41 425  ClientSession 31664352   Thread Thread main 5 main    SELECT 1 EL Warning   2010 09 13 16 54 41 425  UnitOfWork 7566193   Thread Thread main 5 main    Local Exception Stack  Exception  EclipseLink 4002   Eclipse Persistence Services   2 2 0 qualifier   org eclipse persistence exceptions DatabaseExceptionInternal Exception  com microsoft sqlserver jdbc SQLServerException  Invalid object name   DPAR SPROCUNIT  Error Code  208Call  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM  DPAR SPROCUNIT   Query  DataModifyQuery sql  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM  DPAR SPROCUNIT     java 324  EL Finest   2010 09 13 16 53 04 513  UnitOfWork 26596606   Thread Thread main 5 main    Execute query DataModifyQuery sql  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM  DPAR SPROCUNIT      EL Finer   2010 09 13 16 53 04 513  ClientSession 19397138   Connection 11299397   Thread Thread main 5 main    begin transaction EL Fine   2010 09 13 16 53 04 513  ClientSession 19397138   Connection 11299397   Thread Thread main 5 main    UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM  DPAR SPROCUNIT    EL Fine   2010 09 13 16 53 04 543  ClientSession 19397138   Thread Thread main 5 main    VALUES 1  EL Warning   2010 09 13 16 53 04 553  UnitOfWork 26596606   Thread Thread main 5 main    Local Exception Stack  Exception  EclipseLink 4002   Eclipse Persistence Services   2 2 0 qualifier   org eclipse persistence exceptions DatabaseExceptionInternal Exception  java sql SQLSyntaxErrorException  Lexical error Error Code   1Call  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM  DPAR SPROCUNIT   Query  DataModifyQuery sql  UPDATE DPAR SCPROCUNIT SET STATE   1  PENDINGSTATE   1  ALU VERSION   4 WHERE   PROCUNIT ID   47  AND  ALU VERSION   3  AND  PROCUNIT ID IN  SELECT PROCUNIT ID FROM  DPAR SPROCUNIT      ,2
384181,NullPointerException in EntityListener isOverriddenEvent, Build Identifier  2 3 0 v20110604 r9504At the beginning of a multithreaded batch we get sometimes a npe java lang NullPointerExceptionjava 316 java 633 java 200 java 1169 java 1014 java 921 java 3897 java 3846 java 5821 java 1275 invoke0 Native Method java 39 java 25 java 597 java 358 Reproducible  Sometimes ,2
531048, GTK3  Large problems drawing ownerdraw tables,  ,2
276868,Need posssibility to manipulate the width of the left hand side navigation pane, Feature RequestIt would be smart if riena has the possibility to configure a Sash handle between the navigation pane and the content pane ,2
195688,Provide the org eclipse ui browser plugin to support Mylyn integration with EPF Composer,  If I currently want to install the 3 3 version via the Eclipse update site  download eclipse org tools mylyn update e3 3  into the latest integration build  epf composer 1 2 0M4 N 20070706 0049 win32  I get the following dependency error   Requested operation cannot be performed because it would invalidate the current configuration  See details for more information   Mylyn Task List  Required   2 0 0 v20070627 1400  requires plug in  org eclipse ui browser   According to Kevin the ui browser plugin needs to be included in the EPFC builds  because it belongs to a refactored Eclipse base set of plug ins  that s why it was filed as a bug   ,2
410580, regression  Internal Exception  Parent and local keys must be specified when adding comment, What steps will reproduce the problem 1  2  3  Steps 1  Compare with Base2  Add comment from compare editor   Error Details   Date  Wed Jun 12 12 57 07 CEST 2013Message  Unhandled event loop exceptionSeverity  ErrorProduct  Eclipse SDK 3 8 2 v201301310800  org eclipse sdk ide Exception Stack Trace java lang RuntimeException  Internal Exception  Parent and local keys must be specified java 59 java 263 java 176 java 146 java 83 java 940 java 472 java 1 java 265 java 248 java 84 java 4136 java 1458 java 1481 java 1466 java 1271 java 3982 java 3621 java 825 java 801 java 119 java 49 java 168 java 584 java 501 java 411 java 84 java 4136 java 1458 java 1481 java 1466 java 1271 java 3982 java 3621 java 2701 java 2665 java 2499 java 679 java 332 java 668 java 149 java 124 java 196 java 110 java 79 java 353 java 180 invoke0 Native Method java 57 java 43 java 601 java 629 java 584 java 1438  ,2
410597, regression  NPE when querying and configuration is not cached, Steps 1  Connect as anonymous2  Create a query to bring in all reviewsCaused by  java lang NullPointerExceptionjava 261 java 193 java 1 java 234 java 100 java 164 java 158 java 35 java 135     23 moreIf I synchronize tasks that never finishes  Worker 3  prio 5 tid 0x000000010200b000 nid 0x8d03 waiting on condition  0x0000000113ff7000    java lang Thread State  TIMED WAITING  sleeping sleep Native Method java 147 java 107 java 160 java 245 java 218 java 153 java 135 java 225 java 53  ,2
436058,user incorrectly identified as anonymous when accessing Gerrit 2 8 0 using http  was  Add a comment from a single compare editor not available anymore , Testing on master branch as of May 28  window environment  I tried to  Add a Comment  from the compare editor open for a single file  the option is not available anymore  If I open the same file with  Compare with base   the option  Add a Comment  is availableTo reproduce 1  Open a review2  From the task editor  select a file by double clicking it3  In the Compare editor  right click to open the pulldown and the  Add a comment  is not available   See the attachment ,2
443455,modal dialog shown when task list index is corrupt, In the task list view  whenever I type something  an Eclipse error dialog pops up  Stack trace below In my   metadata  mylyn  taskListIndex  folder  I have a file named  segments toolcita2 gen   I guess this file got created automatically by MS OneDrive when there was a conflict between it and the same file on another one of my systems  Deleting the file solves the problem I would expect Mylyn to function correctly even in the presence of unexpected files                      eclipse buildId 4 4 0 I20140606 1215java version 1 8 0 20java vendor Oracle CorporationBootLoader constants  OS win32  ARCH x86 64  WS win32  NL en USFramework arguments    product org eclipse epp package rcp productCommand line arguments    os win32  ws win32  arch x86 64  product org eclipse epp package rcp productjava lang NumberFormatException  For input string   toolcita2 gen forInputString Unknown Source parseLong Unknown Source java 226 java 161 java 644 java 75 java 462 java 322 java 772 java 569 java 47 java 243 java 138 java 121 java 262 java 243 java 149 java 51 java 89 java 909 java 617 java 2649 java 1918 java 684 java 1893 java 1850 java 1528 java 1436 java 366 java 1397 java 1525 java 533 java 1292 java 1481 java 1280 java 528 java 97 java 35 java 136 java 4147 java 3764 java 1151 java 332 java 1032 java 148 java 636 java 332 java 579 java 150 java 135 java 196 java 134 java 104 java 382 java 236 invoke0 Native Method invoke Unknown Source invoke Unknown Source invoke Unknown Source java 648 java 603 java 1465 java 1438  ,2
