231550,Support SVN 1 5 change lists,  ,3
165951, TabbedProperties  Provide extensibility for removing tab section, Build ID  M20060921 0945Steps To Reproduce 1  Try to remove a preexisting tab from an existing property section More information We would like to be able to override a preexisting tab for a given properties section   Currently there is no way to remove an existing tab   One way to solve this problem could be to provide an extension point th ,3
443886,provide more detailed JDT service status messages,  ,3
353343,copy paste of a file  in package explorer  leads to  end position lies outside of document range , file that leads to the issueSimple file Demo aj in default package in project AJP  all ordinary stuff    Selected Demo aj in package explorer  copy paste  it asks for new name  I take the default  CopyOfDemo   then org eclipse text edits MalformedTreeException  End position lies outside document rangejava 178 java 743 java 151 java 534 java 403 java 411 java 93 java 161 java 154 java 186 java 278 java 1 java 102 java 39 java 728 java 2344 java 4861 java 105 java 119 java 278 java 258 java 2344 java 306 java 223 java 106 java 39 java 728 java 2344 java 4861 java 106 java 464 java 372 java 759 java 70 java 756 java 2642 java 191 java 151 java 68 java 1341 java 273 java 275 java 251 java 498 java 119 java 476 java 508 java 169 java 468 java 786 java 885 java 567 java 508 java 123 java 84 java 1069 java 4124 java 1457 java 1480 java 1465 java 1494 java 1490 java 2570 java 2354 java 600 java 1963 java 5470 objc msgSendSuper Native Method java 220 java 2092 java 2255 java 5532 objc msgSendSuper Native Method java 4986 java 5135 objc msgSend Native Method java 128 java 3607 java 2696 java 2660 java 2494 java 674 java 332 java 667 java 149 java 123 java 196 java 110 java 79 java 344 java 179 invoke0 Native Method java 39 java 25 java 597 java 622 java 577 java 1410 file is attached  ,3
530184,model for ServiceSequence elements have manually written code inside,  ,3
279842,consider calling updateTaskFromTaskData   in TasksUiInternal createAndOpenNewTask     ,  ,2
249659, override method  1 5  Override Implement Methods should allow to use return type from subclass,  ,5
521431,ID H4KUS, Version 3 0 5 I20160701 1700SVN Client org eclipse team svn connector svnkit18 5 0 3 I20160701 1700 SVN 1 8 1 SVNKit 1 8 12    r10533 v20160129 0158JVM Properties  java runtime name Java TM  SE Runtime Environment  java runtime version 1 8 0 91 b15  java vendor Oracle Corporation  line separator    java class version 52 0  os name Windows 7  os arch amd64  user country US  os version 6 1  eclipse commands  os win32  ws win32  arch x86 64  showsplash  launcher C  sts bundle sts 3 7 3 RELEASE STS exe  name STS   launcher library C  sts bundle sts 3 7 3 RELEASE  plugins org eclipse equinox launcher win32 win32 x86 64 1 1 300 v20150602 1417 eclipse 1611 dll  startup C  sts bundle sts 3 7 3 RELEASE  plugins org eclipse equinox launcher 1 3 100 v20150511 1540 jar   launcher overrideVmargs  exitdata 2064 64  product org springsource sts ide  vm C  ProgramData Oracle Java javapath javaw exe   java version 1 8 0 91  file separator    java vm info mixed mode  path separator    user timezone America Chicago  user language en  java vm name Java HotSpot TM  64 Bit Server VM  file encoding Cp1252 java lang NullPointerExceptionjava lang NullPointerExceptionjava 467 java 2219 java 79 java 92 java 82 java 96 java 730 java 700 java 700 java 246 java 102 java 497 java 103 endElement Unknown Source scanEndElement Unknown Source next Unknown Source next Unknown Source next Unknown Source scanDocument Unknown Source parse Unknown Source parse Unknown Source parse Unknown Source parse Unknown Source parse Unknown Source java 948 java 913 java 220 java 498 java 399 java 387 java 863 java 360 java 1340 java 848 java 105 java 286 java 94 java 61 java 1 java 20 java 21 java 1235 java 294 java 1199 java 1710 java 182 java 240 java 118 java 156 java 233 java 105 java 64 java 82 java 104 java 99 java 82 java 104 java 99 java 82 java 40 java 104 java 90 java 55 java 35 java 144 java 72 java 39 java 55  ,3
260242, navigation  Provide a shortcut to focus on the first visible line, This is very common thPlease provide a short key to focus the cursor on the first line of the visible code  ,5
129965, Patch  Automatic CRLF detection needed, hi  if I do the following on Windows XP SP2 then some files have patches created erroneously   as though the entire file has changed  This would suggest some issue with line endings but I m experienced with eclipse and CVS and having done some investigation am thinking this is likely a bug in the CVS diff routines  or possibly a problem with eclipse org s cvs server setup  but my knowledge stop Interestingly  the same routine on a linux machine works fine  I ll copy in the thread on the cdt dev list verbatim up to the present time next thanks Andrew1  download eclipse SDK 3 1 win32 zip from eclipse org  and unzip it  chooseing a new empty location as the workspace2  attach to CVS repository dev eclipse org at  cvsroot tools as anonymous over pserver3  checkout as project  the org eclipse cdt managedbuilder core plugin  from HEAD4  make a single character change to GnuMakefileGenerator  and save 5  do a Team   gt  Create Patch6  observe the patch consists of the every line of the original being removed  every line of the slightly edited file being added ,5
260666,include developer guide in SDK feature, The document to develop the connector for myself by using Mylyn API is necessary  I want you to offer the developer guide  ,2
