"['Feb 9, 2016']","I just upgraded to VS Code 0.10.8 and I see that the debug console is now at the bottom of the window. I can see how some people might prefer this, but I actually preferred having it on the right side. The position (right/bottom) should be configurable in settings.",
"['Feb 9, 2016']",+1,
"['Feb 21, 2016']","I would prefer a button right at the window in addition to a default setting. Also, previously you could have the debug console take 100% of the space by closing other windows. Now, this is not possible anymore. It would be better if all windows shared the same behaviour, so every window (file, debug console or task output) could be docked vertically, horizontally or maximized to 100%.",
"['Mar 2, 2016']","@felixfbecker thanks for your feedback!We made the console horizontal so that long output could be seen without being clipped at the end.  Since you prefer the vertical console, I'm interested in how you made the vertical console work when the output was wider than could be displayed.  Could you share what you did in situations like that?When we made the debug console horizontal we wanted to make sure it would not be confused with same functionality of a text editor that has focus—thus avoiding making users think that clicking on a file in the Explorer viewlet will focused on the console can replace the console with the open file.  This was a problem previously—the vertical debug console was often replaced with a file when opened because it had focus.We are exploring making it possible to split text editors horizontally and vertically, as well as allowing the console to be either horizontally or vertically.  We also want to keep a distinction between the console and editors to avoid people thinking that it can be replaced with a text editor.Does this sound like it will resolve your concerns?",
"['Mar 2, 2016']","@bgashler1TL;DR highlight the currently focused window better, make all windows behave the sameI'm a bit on the fence wether I prefer vertical or horizontal. But many use 16:9 monitors, and I certainly notice that editing files with the horizontal console open is not fun because there is not enough space for the editor. I catch myself closing the console as soon as I scroll through some file while debugging so my eyes can scan it more easily.We made the console horizontal so that long output could be seen without being clipped at the end. Since you prefer the vertical console, I'm interested in how you made the vertical console work when the output was wider than could be displayed. Could you share what you did in situations like that?When the console output did not fit, I just resized the window or even closed the open file so I had a full-width debug console. I then went back to the file with Ctrl+Tab. One thing I would like to see is a button in the console to toggle wrapping of long lines, because sometimes it is beneficial (for ultra-long string outputs) and sometimes it is annoying and breaks formatting (for stack traces). Being able to disable wrapping in certain cases would also reduce the need for a horizontal console.When we made the debug console horizontal we wanted to make sure it would not be confused with same functionality of a text editor that has focus—thus avoiding making users think that clicking on a file in the Explorer viewlet will focused on the console can replace the console with the open file. This was a problem previously—the vertical debug console was often replaced with a file when opened because it had focus.Yes, that was sometimes confusing, but I think the reason was that there are not many visual indicators what window has focus. In the January release there was a lot of work for accessibility. For example, the debug section now has slick blue outlines that indicate when a panel is focused:Maybe you could add a similar outline around the current window so it is clear what window gets replaced when a file is opened?We are exploring making it possible to split text editors horizontally and vertically, as well as allowing the console to be either horizontally or vertically. We also want to keep a distinction between the console and editors to avoid people thinking that it can be replaced with a text editor.Im definitely +1 for ""universal"" window management, where every window can get docked vertically or horizontally - as a bonus I would even like to see undocking of windows to drag the console on a second monitor. But I have the feeling that this distinction would get messy. How will you make that distinction visible if the windows have the same features and buttons? I think all windows should behave the same.",
"['Mar 3, 2016']",@felixfbecker thanks so much for sharing!  This is great feedback.  I'm going to discuss it with the team.  We really want to improve this experience.,
"['Jul 9, 2016']",+1 This is really a basic and needed feature that would improve UX for everyone; even a maximize button would be better than nothing.,
"['Aug 2, 2016']","+1 Modern computer screens' ratio of 16:9 means that there's considerably less vertical space, no point in  wasting it.",
"['Sep 18, 2016']","This is definitely a big deal for me. I moved from a vertical 1080p screen to a horizontal 1440p screen and I am very much missing the vertical space I had when using vscode. Being able to reposition the output panel to take up some of that unused horizontal space would make working on a standard 16:9 screen a lot more comfortable.With my current screen, I would be able to comfortably have 2 text buffers and the output panel open side-by-side-by-side. That would be great!",
"['Sep 26, 2016']","Yeah, I really can't use vscode on my 16:9 1080p monitor anymore. Stuff that spans full-width is not very nice on landscape widescreen monitors :(",
"['Nov 7, 2016']",Adding the integrated terminal label so it's easier for me to find as it's one of the main use cases for this.,
"['Oct 6, 2017']",@AndrewHuffman giving you a thumbs up since most people coming to this thread are here to demand a non-trivial fix and become upset when it's not available.Instead let's all go here like @ngryman mentioned: #34267and start working on a solution.,"['https://github.com/ngryman', 'https://github.com/microsoft/vscode/issues/34267', 'https://github.com/microsoft/vscode/pull/34267']"
"['Oct 7, 2017']",+1 for vertical integrated terminal,
"['Oct 9, 2017']","+1 for having the option to chose where I want this and any panel, think Adobe's panel system;) Big ask granted",
"['Oct 9, 2017']",+1 for vertical integrated terminal,
"['Oct 10, 2017']","the horizontal terminal doesnt bother me that much, but would be great to have a vertical debug console",
"['Oct 16, 2017']","@arturosaco @heisian I usually opt to not criticize others. I understand that you do not need this as a vertical terminal. However, its also something others want. This is an open source community. You simply down voting every single request comes off a bit negative.This is not a fix but a feature request. It is not trivial either. If it was, the issue would not have been so long.I'd suggest a bit more empathy on your part. Down voting of this implies that you do not want this change as it hinders your workflow. I do not believe this to be a case. Its an option that the fine folks above are requesting.",
"['Oct 16, 2017']","@bhargavrpatel I would LOVE to have a side-panel Terminal. I would also LOVE to have a bottom-panel search area. I am NOT telling people to fuck off, I'm telling people to stop +1'ing this thread because it results in NO contribution whatsoever to resolving this feature request.It's common practice to strongly encourage users to contribute rather than just stick a +1 to a thread because (especially at this point when it's obvious many people want this feature) it offers nothing to the discussion.",
"['Oct 17, 2017']","The best way to make this +1 madness stop is implementing...2017-10-17 0:21 GMT+02:00 Tim &lt;notifications@github.com&gt;:… @bhargavrpatel &lt;https://github.com/bhargavrpatel&gt; I would LOVE to have a side-panel Terminal. I would also LOVE to have a bottom-panel search area. I am NOT telling people to fuck off, I'm telling people to stop +1'ing this thread because it results in NO contribution whatsoever to resolving this feature request. It's common practice to strongly encourage users to contribute rather than just stick a +1 to a thread because (especially at this point when it's obvious many people want this feature) it offers nothing to the discussion. — You are receiving this because you are subscribed to this thread. Reply to this email directly, view it on GitHub &lt;#2806 (comment)&gt;, or mute the thread &lt;https://github.com/notifications/unsubscribe-auth/AAtFWufRwSbY1l1RflrkS3BgLqD5TjYEks5ss9bwgaJpZM4HWCNy&gt; .","['https://github.com/bhargavrpatel', 'https://github.com/bhargavrpatel', 'https://github.com/bhargavrpatel', 'https://github.com/microsoft/vscode/issues/2806', 'https://github.com/microsoft/vscode/issues/2806', 'https://github.com/notifications/unsubscribe', 'https://github.com/notifications/unsubscribe']"
"['Oct 18, 2017']",+1,
"['Oct 18, 2017']",I think you should lock this issue and point to the PR ,
